"bse_scrip_name","nse_scrip_name","sector","company_name","bse_price","nse_price","bse_volume","nse_volume","sentimeter_score","market_cap_in_cr","pe","book_value","dividend_perc","market_lot","industry_pe","eps","pc","price_by_bookvalue","div_yield_perc","face_value","deliverables_perc","sma_30_50_150_200_bse","sma_30_50_150_200_nse","master_url"
"519236 "," ","FOOD PROCESSING","Supplementary Foods (India)","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/foodprocessing/supplementaryfoodsindia/SFI02"
"511539 "," ","FINANCE - INVESTMENTS","Supra Trends","1.45","NA","1,000","NA","NA","0.73","-","0.39","0.00%","1","23.87","-","-","3.72","-%","10.00",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/financeinvestments/supratrends/VGF01"
"532509 ","SUPRAJIT ","AUTO ANCILLARIES","Suprajit Engineering","144.50","144.05","5,553","31,556","100%","1,734.29","36.58","19.17","95.00%","1","34.72","3.95","31.62","7.54","0.66%","1.00",NA,"137.66, 135.85, 132.13, 131.40","137.91, 136.12, 132.31, 131.53","http://www.moneycontrol.com/india/stockpricequote/autoancillaries/suprajitengineering/SE15"
"530539 "," ","PACKAGING","Suprapti Plastics","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/packaging/supraptiplastics/SP20"
"517328 "," ","MINING & MINERALS","Supreme Conductors","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/miningminerals/supremeconductors/SC29"
"530677 "," ","FINANCE - GENERAL","Supreme Holdings & Hospitality","38.55","NA","650","NA","NA","136.76","-","20.94","0.00%","1","23.87","-","-","1.84","-%","10.00",NA,"35.06, 34.23, 0.00",", , , ","http://www.moneycontrol.com/india/stockpricequote/financegeneral/supremeholdingshospitality/SH07"
"509930 ","SUPREMEIND ","PLASTICS","Supreme Industries","645.70","643.50","4,636","25,968","100%","8,202.12","25.17","88.45","450.00%","1","30.07","25.65","17.65","7.30","1.39%","2.00",NA,"628.39, 622.65, 641.85, 652.97","629.00, 623.08, 641.96, 653.25","http://www.moneycontrol.com/india/stockpricequote/plastics/supremeindustries/SI48"
"0 ","SIIL ","TEXTILES - HOSIERY & KNITWEAR","Supreme (India) Impex","NA","70.70","NA","4,000","NA","0.00","-","","","","-","-","-","-","-%","",NA,"","70.25, 69.95, 68.02, 0.00","http://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/supremeindiaimpex/SI94"
"532904 ","SUPREMEINF ","CONSTRUCTION & CONTRACTING - CIVIL","Supreme Infrastructure India","136.90","137.00","3,511","17,244","100%","351.81","54.98","299.61","0.00%","1","25.78","2.49","8.05","0.46","-%","10.00",NA,"133.23, 131.66, 148.67, 170.36","133.06, 131.49, 148.67, 170.43","http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/supremeinfrastructureindia/SII03"
"523273 "," ","PLASTICS","Supreme Orient Films.","NA","NA","NA","NA","NA","0.00","-","","0.00%","1","-","-","-","-","-%","",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/plastics/supremeorientfilms/SOF"
"500405 ","SUPPETRO ","PETROCHEMICALS","Supreme Petrochem","116.60","116.45","31,346","78,006","50%","1,125.21","5,830.00","39.00","15.00%","1","39.63","0.02","47.21","2.99","1.29%","10.00",NA,"110.75, 112.57, 100.07, 92.03","110.53, 112.43, 100.05, 91.99","http://www.moneycontrol.com/india/stockpricequote/petrochemicals/supremepetrochem/SP"
"531764 "," ","TELECOMMUNICATIONS - EQUIPMENT","Supreme Telecom and Network India","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/supremetelecomnetworkindia/STN"
